author,title,genre,description,year,country,cover
Маркус Зузак,"Книжный вор",роман воспитания,"Действие происходит в нацистской Германии начиная с января 1939 года. Повествование ведётся от лица Ангела Смерти. Главная героиня романа — девятилетняя Лизель Мемингер, становящаяся старше по мере развития сюжета. У Лизель нелёгкая судьба: её отец, неизвестным образом связанный с коммунистами, без вести пропал, а мать, не в силах ухаживать за девочкой и её братом, решает отдать детей на воспитание приёмным родителям, тем самым надеясь спасти их от преследования нацистскими властями. Детство Лизель пронизано событиями Второй мировой войны. В сюжете романа отражается всё: идеи нацизма, гонения на евреев, разделение немецкого народа на два лагеря — тех, кто за идеологию Гитлера, и тех, кто против неё.","2005",Австралия,"https://cv2.litres.ru/pub/c/cover_max1500/9308621.jpg"
Бен Элтон,"Два брата",история,"24 февраля 1920 года в Берлине рождаются два младенца, которым суждено стать братьями. Пауль и Отто неразлучны, но они и не догадываются, что один из них приемыш, – и, более того, не еврей. Это история о том, чем готовы пожертвовать люди ради выживания - своего и тех, кого они любят. Что им делать с каждодневной ненавистью, с неотступной памятью, с неутихающей болью - и как из этого всего порой прорастают одиночество, страх и жестокость, а порой - доброта, мудрость и счастье.","2012",Австралия,"https://img3.labirint.ru/rc/c9533e7ec46365af1f5bd08c70124aec/363x561q80/books42/417837/cover.jpg?1385972856"
Джонатан Литтел,"Благоволительницы",история,"Исторический роман написан от лица офицера СС по имени Максимилиан Ауэ и охватывает период с начала военных действий в Советском Союзе в 1941 году до падения Берлина. Критика высоко оценивает книгу и как художественное произведение, показывающее превращение обычного человека в убийцу, и как исследование, восстанавливающее историю Холокоста с документальной точностью. «Благоволительницы» из названия романа — это богини мести Эринии из древнегреческой мифологии — означает «Милостивые». Сюжет обыгрывает известный греческий миф об Оресте, нашедший отражение в трагедиях Эсхила, Софокла и Еврипида.","2006",Франция,"https://upload.wikimedia.org/wikipedia/ru/2/2e/%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%D0%B2%D0%BE%D0%BB%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%86%D1%8B.jpg"
Джон Бойн,"Мальчик в полосатой пижаме",история,"История описана глазами девятилетнего немецкого мальчика Бруно. Из окна в его комнате видна территория за колючей проволокой, где люди разгуливают в одинаковых полосатых пижамах. Там он и встречает нового друга — еврейского мальчика, Шмуэля, сидящего по ту сторону ограды. Это крайне непривычный, небанальный и оттого особенно страшный ракурс на ужас 20 века.","2006",Ирландия,"https://img4.labirint.ru/rc/ae4bafdf0bf1866efdd29934f88adc48/363x561q80/books39/385902/cover.jpg?1563709603"
Джонатан Сафран Фоер ,"Полная иллюминация",роман воспитания,"«Юмор – это единственный правдивый способ рассказать печальный рассказ», – утверждает Джонатан Фоер устами своего героя. В печально-смешном путешествии двух подростков – американца и украинца – сплелись воедино события Второй мировой войны, традиции еврейского народа и взгляд на современную молодежь, которая цинизмом и бахвальством скрывает свои по-детски тонкие, ранимые души.","2002",США,"https://img3.labirint.ru/rc/aa57e9dc9f3b8400147a607f42687247/363x561q80/books9/88661/cover.jpg?1280394613"
Джонатан Сафран Фоер ,"Полная иллюминация",комедия,"«Юмор – это единственный правдивый способ рассказать печальный рассказ», – утверждает Джонатан Фоер устами своего героя. В печально-смешном путешествии двух подростков – американца и украинца – сплелись воедино события Второй мировой войны, традиции еврейского народа и взгляд на современную молодежь, которая цинизмом и бахвальством скрывает свои по-детски тонкие, ранимые души.","2002",США,"https://img3.labirint.ru/rc/aa57e9dc9f3b8400147a607f42687247/363x561q80/books9/88661/cover.jpg?1280394613"
Аффинити Конар,"Mischling. Чужекровка",история,"Осенью 1944 года сестры-близнецы Перль и Стася вместе с матерью и дедом попадают в Освенцим. В аду концлагеря двенадцатилетние девочки находят спасение в тайном языке и секретных играх, в удивительном запасе внутренних сил. Став подопытными доктора Менгеле в лагерном блоке, именуемом «Зверинец», они получают определенные привилегии, но испытывают неведомые другим ужасы. Но даже самая жестокая рука судьбы оказывается бессильна разлучить близнецов.","2016",США,"https://cdn.azbooka.ru/cv/w1100/f27881b9-b263-430a-b04e-6a6e784384ca.jpg"
Аффинити Конар,"Mischling. Чужекровка",психология,"Осенью 1944 года сестры-близнецы Перль и Стася вместе с матерью и дедом попадают в Освенцим. В аду концлагеря двенадцатилетние девочки находят спасение в тайном языке и секретных играх, в удивительном запасе внутренних сил. Став подопытными доктора Менгеле в лагерном блоке, именуемом «Зверинец», они получают определенные привилегии, но испытывают неведомые другим ужасы. Но даже самая жестокая рука судьбы оказывается бессильна разлучить близнецов.","2016",США,"https://cdn.azbooka.ru/cv/w1100/f27881b9-b263-430a-b04e-6a6e784384ca.jpg"
Уве Тимм,"На примере брата",история,"Автор написал эту книгу в надежде, что она поможет ему осознать и справиться с трагедией, сломавшей не только его семью, но и весь его народ. Это история его старшего брата Карла-Хайнца, который во время Второй Мировой войны добровольно записался в дивизию СС «Мертвая голова». Теперь, спустя много лет после войны, автор погружается в чтение его дневника и фронтовых писем. Записи дают представление о нормальной жестокости - о войне на Восточном фронте. Лишь одна, последняя фраза дневника позволяет предположить признаки того, что брат всё же не был безучастным наблюдателем, что в душе его постепенно зарождался протест.","2013",Германия,"https://ic.pics.livejournal.com/kraevushka/13674077/2294313/2294313_900.jpg"
Милан Кундера,"Бессмертие",философия,"«Бессмертие» – бестселлер интеллектуальной прозы. Здесь Гёте беседует с Хемингуэем, Беттина фон Арним рассказывает о неземном чувстве к великому немцу, двадцать лет прожившая в счастливом браке женщина по имени Аньес понимает, что после смерти хотела бы остаться в одиночестве, пожилая дама в бассейне кокетливым жестом юной прекрасной женщины машет рукой инструктору по плаванию – и за всем этим сквозь время и пространство наблюдает автор. Подобно тому как роман Флобера рождается из персонажа Эммы Бовари, из образа Аньес вырастает «Бессмертие» Кундеры, ведь бессмертие и есть главное и неотъемлемое свойство человеческой души.","1990",Чехия,"https://cdn.img-gorod.ru/0x1200/nomenclature/26/551/2655132.jpg"
Милан Кундера,"Бессмертие",психология,"«Бессмертие» – бестселлер интеллектуальной прозы. Здесь Гёте беседует с Хемингуэем, Беттина фон Арним рассказывает о неземном чувстве к великому немцу, двадцать лет прожившая в счастливом браке женщина по имени Аньес понимает, что после смерти хотела бы остаться в одиночестве, пожилая дама в бассейне кокетливым жестом юной прекрасной женщины машет рукой инструктору по плаванию – и за всем этим сквозь время и пространство наблюдает автор. Подобно тому как роман Флобера рождается из персонажа Эммы Бовари, из образа Аньес вырастает «Бессмертие» Кундеры, ведь бессмертие и есть главное и неотъемлемое свойство человеческой души.","1990",Чехия,"https://cdn.img-gorod.ru/0x1200/nomenclature/26/551/2655132.jpg"
Милан Кундера,"Вальс на прощание",любовный роман,"Роман повествует о любви, ненависти и отношениях между восемью персонажами, которые встречаются в маленьком курортном городке в Чехословакии в начале 1970-х. Каждый из них оказывается вовлеченным в разнообразные любовные перипетии, которые перекрещиваются между собой, рождая замысловатый сюжетный рисунок, ближе к финалу приобретающий неожиданно трагические цвета.","1972",Чехия,"https://cdn.azbooka.ru/cv/w1100/0e61ac30-058a-4a6f-80b8-f6f2e6d959bd.jpg"
Милан Кундера,"Вальс на прощание",психология,"Роман повествует о любви, ненависти и отношениях между восемью персонажами, которые встречаются в маленьком курортном городке в Чехословакии в начале 1970-х. Каждый из них оказывается вовлеченным в разнообразные любовные перипетии, которые перекрещиваются между собой, рождая замысловатый сюжетный рисунок, ближе к финалу приобретающий неожиданно трагические цвета.","1972",Чехия,"https://cdn.azbooka.ru/cv/w1100/0e61ac30-058a-4a6f-80b8-f6f2e6d959bd.jpg"
Милан Кундера,"Книга смеха и забвения",магический реализм,"Первая часть трилогии, в которую входят также романы «Невыносимая лёгкость бытия» и «Бессмертие». «Книга смеха и забвения» – это пестрая мозаика любви, памяти и фантазии, семь историй, обнажающих подлинно трагическую изнанку человеческой жизни. Называя свою книгу романом, Кундера уточнял: «Эта книга – роман в форме вариаций. Отдельные части следуют одна за другой, как отдельные отрезки пути, ведущего внутрь темы, внутрь мысли, внутрь одной-единственной ситуации, понимание которой теряется в необозримой дали».","1978",Чехия,"https://cv7.litres.ru/pub/c/cover_max1500/67917077.jpg"
Милан Кундера,"Книга смеха и забвения",психология,"Первая часть трилогии, в которую входят также романы «Невыносимая лёгкость бытия» и «Бессмертие». «Книга смеха и забвения» – это пестрая мозаика любви, памяти и фантазии, семь историй, обнажающих подлинно трагическую изнанку человеческой жизни. Называя свою книгу романом, Кундера уточнял: «Эта книга – роман в форме вариаций. Отдельные части следуют одна за другой, как отдельные отрезки пути, ведущего внутрь темы, внутрь мысли, внутрь одной-единственной ситуации, понимание которой теряется в необозримой дали».","1978",Чехия,"https://cv7.litres.ru/pub/c/cover_max1500/67917077.jpg"
Милан Кундера,"Неведение",психология,"Возвращение — один из основных сюжетов мировой литературы, и всякая одиссея развивается предсказуемо... впрочем, не всегда. Герои романа одного из крупнейших писателей современности Милана Кундеры «Неведение» возвращаются в Чехию после эмиграции — после многих лет тягот, счастья, потерь, компромиссов, новых переживаний и воспоминаний, которые непостижимы и не интересны никому на родине. Как работает память? Из чего строятся надежды? Что такое подлинная честность? Кто возвращается к Пенелопе и знает ли она человека, который к ней вернулся? Те, кто уехал, те, кто повстречался им в пути, те, кто остался, — Кундера вглядывается в человеческие судьбы с беспримерной проницательностью и талантом к сочувственному пониманию.","2000",Чехия,"https://img3.labirint.ru/rc/b1077ff3d0061e850c12f24456b51285/363x561q80/books92/912869/cover.jpg?1682432761"
Милан Кундера,"Неведение",любовный роман,"Возвращение — один из основных сюжетов мировой литературы, и всякая одиссея развивается предсказуемо... впрочем, не всегда. Герои романа одного из крупнейших писателей современности Милана Кундеры «Неведение» возвращаются в Чехию после эмиграции — после многих лет тягот, счастья, потерь, компромиссов, новых переживаний и воспоминаний, которые непостижимы и не интересны никому на родине. Как работает память? Из чего строятся надежды? Что такое подлинная честность? Кто возвращается к Пенелопе и знает ли она человека, который к ней вернулся? Те, кто уехал, те, кто повстречался им в пути, те, кто остался, — Кундера вглядывается в человеческие судьбы с беспримерной проницательностью и талантом к сочувственному пониманию.","2000",Чехия,"https://img3.labirint.ru/rc/b1077ff3d0061e850c12f24456b51285/363x561q80/books92/912869/cover.jpg?1682432761"
Агота Кристоф,"Толстая тетрадь",психология,"«Толстая тетрадь» представляет собой записки двух близнецов — Клауса и Лукаса — о своей жизни в приграничном венгерском городке во время второй мировой войны. С первых же страниц текста читатель оказывается вовлечённым в придуманную автором игру: мы внимательно следим за ходом повествования, никак не подозревая, что писатель может воспользоваться нашим доверием и заманить нас в ловушку.","1986",Франция,"https://cdn.img-gorod.ru/0x1200/nomenclature/25/599/2559937.jpg"
Агота Кристоф,"Толстая тетрадь",детектив,"«Толстая тетрадь» представляет собой записки двух близнецов — Клауса и Лукаса — о своей жизни в приграничном венгерском городке во время второй мировой войны. С первых же страниц текста читатель оказывается вовлечённым в придуманную автором игру: мы внимательно следим за ходом повествования, никак не подозревая, что писатель может воспользоваться нашим доверием и заманить нас в ловушку.","1986",Франция,"https://cdn.img-gorod.ru/0x1200/nomenclature/25/599/2559937.jpg"
Ежи Пильх,"Песни пьющих",философия,"«Песни пьющих» — печальная и смешная, достоверно-реалистическая и одновременно гротескно-абсурдная исповедь горького пьяницы писателя Ежи П. Жизнь героя-автора и его сотоварищей, одолеваемых зеленым змием, поделена на неравные отрезки: пребывание дома, где они, большей частью безуспешно, пытаются вести нормальное, трезвое существование, и в клинике, где их лечат от алкоголизма.","2000",Польша,"https://libcat.ru/uploads/posts/book/ezhi-pilh-pesni-pyushhih.jpg"
Анджей Стасюк,"Белый ворон",философия,"Простая эскапистская выходка - зимний поход в горы - оборачивается чередой неожиданных событий, вплоть до кровавых и трагических, проверяющих на прочность мужскую дружбу. Экзистенциальная драма Белый ворон, заслужившая сравнение с творчеством Керуака, повествует о повзрослевших друзьях детства и об уготованном им суровом испытании на грани кровавого кошмара.","1995",Польша,"https://s1.livelib.ru/boocover/1000023545/200/b3de/boocover.jpg"
Анджей Стасюк,"Девять",философия,"В романе Стасюк описал портрет первого поколения, которое застало перестройку в СССР и заметное ослабление его влияния на Польшу, приведшее к переменам. Герой Девяти, частный предприниматель недавней эпохи первичного накопления капитала, всеми правдами и неправдами пытается вернуть крупный долг. Он ищет денег у старых друзей и бывших жен, у случайных знакомых и крестного отца местного значения. Поиски эти оборачиваются трагикомическим путешествием по кругам современного ада с бандитами и сутенерами в роли бесов…","1999",Польша,"https://s1.livelib.ru/boocover/1002793410/200/315a/boocover.jpg"
Анджей Стасюк,"Девять",триллер,"В романе Стасюк описал портрет первого поколения, которое застало перестройку в СССР и заметное ослабление его влияния на Польшу, приведшее к переменам. Герой Девяти, частный предприниматель недавней эпохи первичного накопления капитала, всеми правдами и неправдами пытается вернуть крупный долг. Он ищет денег у старых друзей и бывших жен, у случайных знакомых и крестного отца местного значения. Поиски эти оборачиваются трагикомическим путешествием по кругам современного ада с бандитами и сутенерами в роли бесов…","1999",Польша,"https://s1.livelib.ru/boocover/1002793410/200/315a/boocover.jpg"
Георги Господинов,"Естественный роман",психология,"Это роман о некоем личном апокалипсисе главного героя, о человеческой неспособности справиться с жизнью, прочувствовать ее и описать. Поэтике первого болгарского постмодернистского романа свойственны качества естественной истории: странность, неожиданность, прерывистость, парадоксальность, непредсказуемость.","1999",Болгария,"https://main-cdn.sbermegamarket.ru/big2/hlr-system/355/335/604/103/018/39/100060909692b0.jpg"
Геза Сёч,"Лимпопо, или Дневник барышни-страусихи",философия,"В романе «Лимпопо» — дневнике барышни-страусихи, переведенном на язык homo sapiens и опубликованном Гезой Сёчем — мы попадаем на страусиную ферму, расположенную «где-то в Восточной Европе», обитатели которой хотят понять, почему им так неуютно в неплохо отапливаемых вольерах фермы. Почему по ночам им слышится зов иной родины, иного бытия, иного континента, обещающего свободу? Может ли страус научиться летать, раз уж природой ему даны крылья? И может ли он сбежать? И куда? И что вообще означает полет?","2007",Венгрия,"https://avidreaders.ru/pics/2/3/46123.jpg"
Матей Вишнек,"Господин К. на свободе",психология,"Роман - ответ на Процесс Франца Кафки, но Кафка наизнанку. У Кафки Йозефа К. арестовывают, у Вишнека Козефа Й. выпускают на свободу. Кафкианский процесс выписки из тюрьмы занимает всю книгу. Тема чрезвычайно актуальная: человек, получивший свободу, не знает, что с ней делать, да и выпускают-то его условно. Неспешное, с искусным поддержанием саспенса и атмосферы наваждения, описание каждодневной жизни освобожденного сочетается с отменным остроумием, драматургическим умением сводить сюжетные ходы, с игрой на парадоксах - во всем виден автор первоклассной интеллектуальной литературы, гражданин мира с опытом жизни при тоталитаризме.","2014",Румыния,"https://www.book.store.bg/lrgimg/161573/gospodin-k-na-svoboda.jpg"
Мишель Уэльбек,"Элементарные частицы",фантастика,"Роман повествует о жизни двух единоутробных братьев, которые едва знают друг друга. Брюно — учитель, Мишель — биолог. Одинокий и несчастный, Мишель добивается кардинальных изменений в биологии человека как вида, в результате чего приходит новое поколение счастливых и без устали ублажающих друг друга людей. Новаторская работа Мишеля в клонировании удаляет любовь из процесса воспроизводства. А люди, как доказывает Уэльбек, являются только частицами.","1998",Франция,"https://cdn.azbooka.ru/cv/w1100/934917b3-2a0d-480d-b4e0-d1a869c0c2cf.jpg"
Мишель Уэльбек,"Платформа",психология,"В романе Платформа, замаскированном под сентиментальное путешествие, окружающий мир дан в движении с Запада на Восток. В поисках радости или радостей герой добирается до Тайланда, и там ему, подобно Гогену, суждено обрести и утратить свой рай. Но способны ли нынешние европейцы, растленные благами цивилизации, ощутить первозданную радость мира?.. «К Западу я не испытываю ненависти, только огромное презрение, - замечает герой романа. - Я знаю одно: такие, как мы, есть, мы смердим, ибо насквозь пропитаны эгоизмом, мазохизмом и смертью. Мы создали систему, в которой жить стало невозможно, и хуже того, мы продолжаем распространять ее на остальной мир».","2001",Франция,"https://cdn.book24.ru/v2/ASE000000000874478/COVER/cover13d__w410.jpg"
Бегбедер Ф,"99 франков",комедия,"Роман 99 франков представляет собой остроумную сатиру на рекламный бизнес, дерзкое разоблачение безумного и полного превратностей мира, в котором все презирают друг друга, где бездарно растрачиваются человеческие ресурсы...  В центре повестрования - жизнь успешного копирайтера Октава Паранго, который пишет разоблачающую рекламный бизнес книгу и тайно мечтает о собственном увольнении после разоблачения, чтобы получить выходное пособие, но руководители не ведутся на его провокации. Роман Бегбедера провокационен, написан в духе времени и весьма полемичен.","2000",Франция,"https://cv1.litres.ru/pub/c/cover_max1500/118518.jpg"
Бегбедер Ф,"99 франков",антиутопия,"Роман 99 франков представляет собой остроумную сатиру на рекламный бизнес, дерзкое разоблачение безумного и полного превратностей мира, в котором все презирают друг друга, где бездарно растрачиваются человеческие ресурсы...  В центре повестрования - жизнь успешного копирайтера Октава Паранго, который пишет разоблачающую рекламный бизнес книгу и тайно мечтает о собственном увольнении после разоблачения, чтобы получить выходное пособие, но руководители не ведутся на его провокации. Роман Бегбедера провокационен, написан в духе времени и весьма полемичен.","2000",Франция,"https://cv1.litres.ru/pub/c/cover_max1500/118518.jpg"
